grade,semester,category,version,executor,chapter,section,name,content
三年级,上册,5,北京版,段斌,1,0,千米的认识,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/51b1b2b10a7e4ca8b88c4cbe69ce644b/eae14b869f55cc81489fb22b850ef769.852.480.false/eae14b869f55cc81489fb22b850ef769.852.480.m3u8
三年级,上册,5,北京版,段斌,1,1,分米和毫米的认识,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/fef9c31abebb42e086b02ebaa12d4a23/f3b3542b4a8c96243a90230282e4715f.852.480.false/f3b3542b4a8c96243a90230282e4715f.852.480.m3u8
三年级,上册,5,北京版,段斌,1,1,综合练习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/c450c11ecfc84ccb98d49ac63055a303/7cfb12856b01db4e7cf2c2d1f6d2f4db.852.480.false/7cfb12856b01db4e7cf2c2d1f6d2f4db.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,整十、整百、整千数除以一位数口算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/a87f095c192e4df4a28043e593264e9a/2aee9bd2f880238398e13b9285b8eda2.852.480.false/2aee9bd2f880238398e13b9285b8eda2.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,多位数除以一位数估算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/148796bf418b48ab9eccc1f34002fa19/3ab3e279b277e42ad4ae1e361ab89406.852.480.false/3ab3e279b277e42ad4ae1e361ab89406.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,两位数除以一位数口算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/99038406889d49a9a6d7403cf5637029/cf25819abf6e495281586dcbeb83d271.852.480.false/cf25819abf6e495281586dcbeb83d271.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,两位数除以一位数笔算（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/9777a6c56d56413a8ee91dcfb032ec19/6d821f4e29ccd3c97c0fd4dc920883b8.852.480.false/6d821f4e29ccd3c97c0fd4dc920883b8.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,两位数除以一位数笔算（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/43358f81a800456a8f3609aff0786e05/31821c65a144701f370b86d2d2dd699a.852.480.false/31821c65a144701f370b86d2d2dd699a.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,三位数除以一位数笔算（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/4530ad1ff043440fa970349d7cc8aa16/1dceb9377d6a948c9ba0129bf00a5876.852.480.false/1dceb9377d6a948c9ba0129bf00a5876.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,三位数除以一位数笔算（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/5cc9c67f396445b98581b66ca2683295/cfa776c531f7d603b82dd5f19fabd500.852.480.false/cfa776c531f7d603b82dd5f19fabd500.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,三位数除以一位数笔算（第三课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/884036e1c1b04c469c1a9aa776a9f93d/216241653c468d206695e5809951220c.852.480.false/216241653c468d206695e5809951220c.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,三位数除以一位数笔算（第四课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/33771d002d8a44ea90b7ab1b33513292/9e8b3e72ccf7e58ed6a275680679a8ce.852.480.false/9e8b3e72ccf7e58ed6a275680679a8ce.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,三位数除以一位数笔算（第五课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/c9236db195d2417caed926f0e449fb79/de3951751288944288cd6aa88dede490.852.480.false/de3951751288944288cd6aa88dede490.852.480.m3u8
三年级,上册,5,北京版,段斌,2,0,除法的整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/36ad9872826d4069844bcda32ba10720/ec4486fd2b7d4837a6b23751fbe61734.852.480.false/ec4486fd2b7d4837a6b23751fbe61734.852.480.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第一课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/5fe4eb7bfcaa463ab879e1b877461cea/2ef54bd1e0eb811f69ae0c423851162d.852.480.false/2ef54bd1e0eb811f69ae0c423851162d.852.480.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第二课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/251e39342c7b42a2bf5a1c0fe677e172/5cb636157fcbdb1aeef6628bfb84797a.852.480.false/5cb636157fcbdb1aeef6628bfb84797a.852.480.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第三课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/3a7190f9319f48449d06bdc4d5749b7f/baf8a7989dc9984a6546e38b8adc8f65.1280.720.false/baf8a7989dc9984a6546e38b8adc8f65.1280.720.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第四课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/212b834aa63045a0a8715991e7cdff43/c5d7f577e1e1d4a26fc8464cb7fda3e9.1280.720.false/c5d7f577e1e1d4a26fc8464cb7fda3e9.1280.720.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第五课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/04b88b3549624a01ac95b8c8e53f639e/dfb7828f05afdf3b6bfa40b863a3b247.1280.720.false/dfb7828f05afdf3b6bfa40b863a3b247.1280.720.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第六课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/f86c8034c7784edc8fd3b4b9d906ba04/cd68c1931cd11e6272526d8744962069.1280.720.false/cd68c1931cd11e6272526d8744962069.1280.720.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题(第七课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/88a55048accb415181abc63daed29d38/61d3ce6d7e65bb62c785b476419e12fc.1280.720.false/61d3ce6d7e65bb62c785b476419e12fc.1280.720.m3u8
三年级,上册,5,北京版,段斌,3,0,解决问题整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/68c13dbec6ea4317a8c5508edf0c6b43/3c8d8ee53eab84fe22876e6d8da27542.1280.720.false/3c8d8ee53eab84fe22876e6d8da27542.1280.720.m3u8
三年级,上册,5,北京版,段斌,4,0,角的初步认识(第一课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/faf4875e4e4d47b4b6b595172155c3af/db91e42a11e78f3a2f8c20c40688aba9.1280.720.false/db91e42a11e78f3a2f8c20c40688aba9.1280.720.m3u8
三年级,上册,5,北京版,段斌,4,0,角的初步认识(第二课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/4f9adc507c0d43228303e4d1bd5c7541/b73c72f9a0baa00d47036c8a485be491.1280.720.false/b73c72f9a0baa00d47036c8a485be491.1280.720.m3u8
三年级,上册,5,北京版,段斌,4,0,探索规律,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/d9c4a56cb560492e81fad3681f2c12c3/02f305db178da5dc7aa37dd700b0f52c.1280.720.false/02f305db178da5dc7aa37dd700b0f52c.1280.720.m3u8
三年级,上册,5,北京版,段斌,5,0,长方形和正方形的认识,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/f3d837ab3be14113b497b19901fb53b9/0bb7455bcd02e95c39ee5ffd86346e44.1280.720.false/0bb7455bcd02e95c39ee5ffd86346e44.1280.720.m3u8
三年级,上册,5,北京版,段斌,5,1,周长的认识,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/d4e0bd42dfe64e3fb2343d819fe066cf/8ce2d24abb70453b76a47a083c0f5bc4.1280.720.false/8ce2d24abb70453b76a47a083c0f5bc4.1280.720.m3u8
三年级,上册,5,北京版,段斌,5,1,长方形和正方形的周长,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/8f40143a5a574403b7e271bdd6ef7f79/40fb6873c17fb1d08d342a41fd37646f.1280.720.false/40fb6873c17fb1d08d342a41fd37646f.1280.720.m3u8
三年级,上册,5,北京版,段斌,5,1,长方形和正方形的周长整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/047a8ecbb4cb48a6b55841eb285a4c3e/2f0a8bdbe5049341ed55b30346007fc7.1280.720.false/2f0a8bdbe5049341ed55b30346007fc7.1280.720.m3u8
三年级,上册,5,北京版,段斌,5,2,测量篮球场,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/11b7e3eac37e4196b1745207d0e33919/4fec4702faf512422c1a79021b504e79.1280.720.false/4fec4702faf512422c1a79021b504e79.1280.720.m3u8
三年级,上册,5,北京版,段斌,6,0,24时记时法(第一课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/eab27ae207004603940322ec1c1c5b96/3e992a98fbe3d7631924da88ee209c24.1280.720.false/3e992a98fbe3d7631924da88ee209c24.1280.720.m3u8
三年级,上册,5,北京版,段斌,6,0,24时记时法(第二课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/f5027662ff724623a5b6ea8f1c1e394a/2dd264042cc5b5340e2bdaf5fd52cac9.1280.720.false/2dd264042cc5b5340e2bdaf5fd52cac9.1280.720.m3u8
三年级,上册,5,北京版,段斌,6,1,做聪明的时间管理者(第一课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/6bc9d3ca8b924defb3a32a7ba4ad0c12/ac9195ddf936bc6d764e2d7eb7f4e9db.1280.720.false/ac9195ddf936bc6d764e2d7eb7f4e9db.1280.720.m3u8
三年级,上册,5,北京版,段斌,6,1,做聪明的时间管理者(第二课时),https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/50bee7419b4b4297834481cef092d074/8b7fe8bdbe04d6f49a2911c0ddabce41.1280.720.false/8b7fe8bdbe04d6f49a2911c0ddabce41.1280.720.m3u8
三年级,上册,5,北京版,段斌,7,0,数学百花园—等量代换,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/68a8366fbf43421eb84dee9130070e42/8d9f0de25d855864d6fea4bec8be8d52.1280.720.false/8d9f0de25d855864d6fea4bec8be8d52.1280.720.m3u8
三年级,上册,5,北京版,段斌,7,1,数学百花园—合理搭配,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/62960caf49354c0aba3c868724ee5c27/1b6e2b4e7c441bacd87ddb6fa3bebcb5.1280.720.false/1b6e2b4e7c441bacd87ddb6fa3bebcb5.1280.720.m3u8
三年级,下册,5,北京版,段斌,0,0,年、月、日,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/272d6b433da64ada8b8356092d33d624/48e33cce0ae122c5f6a840aa204b6f7d.852.480.false/48e33cce0ae122c5f6a840aa204b6f7d.852.480.m3u8
三年级,下册,5,北京版,段斌,0,1,平年和闰年,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/3ea7463ed74348aeb8ad1908b77deb1a/22f84f87f09d3c7cb0da75277af9d0db.852.480.false/22f84f87f09d3c7cb0da75277af9d0db.852.480.m3u8
三年级,下册,5,北京版,段斌,0,1,解决问题——年月日的练习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/2746408f92e24a7c9403990948b41ff2/4ac7040853032d7a26039fd742363a62.852.480.false/4ac7040853032d7a26039fd742363a62.852.480.m3u8
三年级,下册,5,北京版,段斌,0,1,实践活动：闰年,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/55d3ad9fb8df403c8606a2b96ec26ca9/27fbf297af7a44a9fb1f948bf8dd59c4.852.480.false/27fbf297af7a44a9fb1f948bf8dd59c4.852.480.m3u8
三年级,下册,5,北京版,段斌,1,0,口算乘法（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/dbf81266149c4996bd0492d81e2d266a/4878b123726a5eb68a9e045e7cd31c3d.852.480.false/4878b123726a5eb68a9e045e7cd31c3d.852.480.m3u8
三年级,下册,5,北京版,段斌,1,0,口算乘法（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/8beb8b9f0cb9443bac1ed682145b9482/a652d431a7e4a2254e8fdaf7c44e7802.852.480.false/a652d431a7e4a2254e8fdaf7c44e7802.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,笔算乘法（第一课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/85e7930b5438488b835a13bb359bb25b/bc7775ae89266a0a59745d24d54b50c8.852.480.false/bc7775ae89266a0a59745d24d54b50c8.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,笔算乘法（第二课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/86d5ad0618c94cebae295c1590260b79/c700d003ede9259a21b15d13a8589b90.852.480.false/c700d003ede9259a21b15d13a8589b90.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,笔算乘法（第三课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/73220d083678436784f8a6eda382ed53/aee9cc915521f996548b91e9021c0c93.852.480.false/aee9cc915521f996548b91e9021c0c93.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,笔算乘法（第四课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/a551a92aa9f645e2a084ced702f0c908/fdfa95d439179174f52d4455f5d6f047.852.480.false/fdfa95d439179174f52d4455f5d6f047.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,笔算乘法（第五课时）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/afefcad458ac40d9b3c4e38ae6dd186e/1b754c1f0c3010438ee34cd35edc3d39.852.480.false/1b754c1f0c3010438ee34cd35edc3d39.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,乘法估算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/0892063682da494594da9742c1c60451/ffeb433365ed51b71665daf0ac41e45a.852.480.false/ffeb433365ed51b71665daf0ac41e45a.852.480.m3u8
三年级,下册,5,北京版,段斌,1,1,乘法的整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/cffb2103020c48c6861e75a5fb513a50/9926223845f28b839681d519a88ada9b.852.480.false/9926223845f28b839681d519a88ada9b.852.480.m3u8
三年级,下册,5,北京版,段斌,2,0,吨的认识,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/9c169d163da84ece9919dd3240f2b443/bdecb13f104f8cf74fe5d5ca00ecdb96.852.480.false/bdecb13f104f8cf74fe5d5ca00ecdb96.852.480.m3u8
三年级,下册,5,北京版,段斌,2,0,吨与千克之间的换算,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/d48e3f4ebd434e8489b603ea11fb512e/bd8b908ce5665789510d4a6e4af5881a.852.480.false/bd8b908ce5665789510d4a6e4af5881a.852.480.m3u8
三年级,下册,5,北京版,段斌,3,0,连乘问题第一课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/e0dbb47a6b114c588ac287a4000324bd/84f58f037966dad2fc3b04df333c66d6.852.480.false/84f58f037966dad2fc3b04df333c66d6.852.480.m3u8
三年级,下册,5,北京版,段斌,3,0,连乘问题第二课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/dd1aad82452d4be180fc12add7f38100/5b94e133bbdd8604e5d84961037646b3.852.480.false/5b94e133bbdd8604e5d84961037646b3.852.480.m3u8
三年级,下册,5,北京版,段斌,3,1,例2：连除问题（一）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/ece1812587c0493495398e4952e8956b/3d2a9aa61e3b898f9de2e30f0340d6aa.852.480.false/3d2a9aa61e3b898f9de2e30f0340d6aa.852.480.m3u8
三年级,下册,5,北京版,段斌,3,1,例2：连除问题（二）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/eb8b9bd7068e4e0ab4f6f8549cff7dec/1eee62f7f91a64d56ecdef8baea8c9fc.852.480.false/1eee62f7f91a64d56ecdef8baea8c9fc.852.480.m3u8
三年级,下册,5,北京版,段斌,3,2,例3：乘除混合问题（一）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/11473d2454cd4f908b56959dd4564907/f0d15bbab9603c373bb47911c8d94ecc.852.480.false/f0d15bbab9603c373bb47911c8d94ecc.852.480.m3u8
三年级,下册,5,北京版,段斌,3,2,乘除问题 第二课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/f136e7337bb14773ab801832807d9fe2/24b827479ab2f01be1e15990e0a58403.852.480.false/24b827479ab2f01be1e15990e0a58403.852.480.m3u8
三年级,下册,5,北京版,段斌,3,2,乘除问题 第三课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/d1d0a18a7b9040a0bb042d7635708917/c029fd63369a1d5b41a1abe002333f0f.852.480.false/c029fd63369a1d5b41a1abe002333f0f.852.480.m3u8
三年级,下册,5,北京版,段斌,3,2,乘除问题 第四课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/b3bb03be223c472e90a7471c329f8593/8bc328b0addbc63e2ea357ba89fb4b52.852.480.false/8bc328b0addbc63e2ea357ba89fb4b52.852.480.m3u8
三年级,下册,5,北京版,段斌,3,2,解决问题整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/eb4448e375984fe0b4dfb3b245aff19a/e29b80b6b39ed221c9abb47869dd01f8.852.480.false/e29b80b6b39ed221c9abb47869dd01f8.852.480.m3u8
三年级,下册,5,北京版,段斌,4,0,认识面积,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/0a4799646f3b43ceb4728163d85977bd/26c5ffd6607cc5a00dd4e2bfeaedd98a.852.480.false/26c5ffd6607cc5a00dd4e2bfeaedd98a.852.480.m3u8
三年级,下册,5,北京版,段斌,4,0,认识面积单位（一）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/645274d17c1842d689884fcc113a5d4b/97ee3a6522d62230c6e6ff3884d85c47.852.480.false/97ee3a6522d62230c6e6ff3884d85c47.852.480.m3u8
三年级,下册,5,北京版,段斌,4,0,认识面积单位（二）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/4602b4bb84ec40798fe5daef1670d384/f73e1187a60eed32ea48806f96bb8fd0.852.480.false/f73e1187a60eed32ea48806f96bb8fd0.852.480.m3u8
三年级,下册,5,北京版,段斌,4,1,长方形和正方形的面积（一）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/eb85ccf73fbf49079f0b3bc5e1b128ce/f965338fa63e163acf829aaeac8e05fc.852.480.false/f965338fa63e163acf829aaeac8e05fc.852.480.m3u8
三年级,下册,5,北京版,段斌,4,1,长方形和正方形的面积（二）,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/5861a476400c44c8af29807f8f164fed/c6a72df35895e947c8c55f09a66483b2.852.480.false/c6a72df35895e947c8c55f09a66483b2.852.480.m3u8
三年级,下册,5,北京版,段斌,4,2,面积单位间的进率,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/7a4c363e411a429a83c2a73c5552d6fa/26e1062a29de76554448fb2b529fdfb4.852.480.false/26e1062a29de76554448fb2b529fdfb4.852.480.m3u8
三年级,下册,5,北京版,段斌,4,2,探索规律,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/d98cb1c797284a2bb72c559c34ab236b/83bb090a012946b1315e1de5987030d0.852.480.false/83bb090a012946b1315e1de5987030d0.852.480.m3u8
三年级,下册,5,北京版,段斌,4,2,长方形和正方形的面积整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/957a3d78d2fd49ac86342a7559a40845/589f983aa7655a580017cdd711b109a4.852.480.false/589f983aa7655a580017cdd711b109a4.852.480.m3u8
三年级,下册,5,北京版,段斌,4,3,围绿地,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/e14215e74718427f93cb02874655be5c/b8ad924f190f6db34e45c87b1e9f0267.852.480.false/b8ad924f190f6db34e45c87b1e9f0267.852.480.m3u8
三年级,下册,5,北京版,段斌,5,0,认识分数 第一课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/435b23f8a801464796f278d7b0d03c1e/a2500a0ac04e499a54f4acf8bf9ba77f.852.480.false/a2500a0ac04e499a54f4acf8bf9ba77f.852.480.m3u8
三年级,下册,5,北京版,段斌,5,0,认识分数 第二课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/4d212bcf927741aa86c1720146bd97f8/9f05ae36b2214653e05d2653d9f3a1bc.852.480.false/9f05ae36b2214653e05d2653d9f3a1bc.852.480.m3u8
三年级,下册,5,北京版,段斌,5,0,简单分数的大小比较,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/fad837bb94ff40df8a48fab7778eaf1d/4c1916628db624afd334af014f67a580.852.480.false/4c1916628db624afd334af014f67a580.852.480.m3u8
三年级,下册,5,北京版,段斌,5,1,简单分数的加减法,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/d2cb7ceda3c846c09183d783f84029a6/b98e11e58364e08373b27409689557ea.852.480.false/b98e11e58364e08373b27409689557ea.852.480.m3u8
三年级,下册,5,北京版,段斌,5,1,分数的初步认识整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/939971e5772741448989f24253f9c8b6/b9eabb8caadeda4c6e2d8f8a12c73bca.852.480.false/b9eabb8caadeda4c6e2d8f8a12c73bca.852.480.m3u8
三年级,下册,5,北京版,段斌,6,0,小数的初步认识,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/b607c865bfa64b8abac5453b4a2f478c/81ec3bd95bc9d63c02a979b9b1ac713c.852.480.false/81ec3bd95bc9d63c02a979b9b1ac713c.852.480.m3u8
三年级,下册,5,北京版,段斌,6,0,小数初步认识练习课,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/5292d1b1a6504a93b680d051c008620f/1f85430767e40d4b3c87f0e329e54734.852.480.false/1f85430767e40d4b3c87f0e329e54734.852.480.m3u8
三年级,下册,5,北京版,段斌,6,1,简单的小数大小比较,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/3a9a228466cc4b0093ef630cf9486707/d8881605550fdc063591f2ff1f25925c.852.480.false/d8881605550fdc063591f2ff1f25925c.852.480.m3u8
三年级,下册,5,北京版,段斌,6,2,简单的小数加、减法,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/1ef9ac5b6bc54fa4931518a1242cb0fe/fbbfb187a81b4e6f51a1b45fc94e7a6b.852.480.false/fbbfb187a81b4e6f51a1b45fc94e7a6b.852.480.m3u8
三年级,下册,5,北京版,段斌,6,2,小数的初步认识整理与复习,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/e3c931817d284454b24c1bd62fcc1c82/ff9290dc61d9468fa3824b4cec8cc192.852.480.false/ff9290dc61d9468fa3824b4cec8cc192.852.480.m3u8
三年级,下册,5,北京版,段斌,7,0,认识地图上的东、南、西、北,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/ecfc3cd0e6ee43278bf403f5de9ddb3c/66921f5f61520347bccd4581b1447406.852.480.false/66921f5f61520347bccd4581b1447406.852.480.m3u8
三年级,下册,5,北京版,段斌,7,0,认识东南、东北、西南、西北,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/398aa8e9cecd459182a1a720034b264e/4f379d598525ed74a8ef96e4319be9fa.852.480.false/4f379d598525ed74a8ef96e4319be9fa.852.480.m3u8
三年级,下册,5,北京版,段斌,8,0,例1：分类整理数据、初步认识统计表,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/7b67ef47131c4cc688a2fd5bd955b3e1/3578fffe76bac3da68a5eabef8cadad2.852.480.false/3578fffe76bac3da68a5eabef8cadad2.852.480.m3u8
三年级,下册,5,北京版,段斌,8,0,解决问题 第一课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/87bf4dbdc6c846acaffe3385ecabcdda/58ad669ac6dbdc210de3a6762904a776.852.480.false/58ad669ac6dbdc210de3a6762904a776.852.480.m3u8
三年级,下册,5,北京版,段斌,8,0,解决问题 第二课时,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/52844877ac3241b4a933ddad11f92235/fe7c7e393bb67283c55b59e1d0d0b459.852.480.false/fe7c7e393bb67283c55b59e1d0d0b459.852.480.m3u8
三年级,下册,5,北京版,段斌,9,0,数学百花园：比较,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/5a14d31c3d3c45b6bcd90174c7874675/5757d2c7392cde8f72b28b147ef98907.852.480.false/5757d2c7392cde8f72b28b147ef98907.852.480.m3u8
三年级,下册,5,北京版,段斌,9,1,合理安排时间,https://r1-ndr.ykt.cbern.com.cn/edu_product/65/video/6dd3322cee844964a5659a79c3ac5321/664e60fb4726d37b54eb9cc83338c18c.852.480.false/664e60fb4726d37b54eb9cc83338c18c.852.480.m3u8
